Year,Group,Value
2015,,204326.0
2016,,177757.0
2017,,280276.0
2018,,273167.0
2019,,206918.0
2020,,182582.0
2015,cartridges,202142.0
2016,cartridges,174954.0
2017,cartridges,278238.0
2018,cartridges,271141.0
2019,cartridges,204899.0
2020,cartridges,179186.0
2015,grenades,2099.0
2016,grenades,2698.0
2017,grenades,1935.0
2018,grenades,1918.0
2019,grenades,1889.0
2020,grenades,1228.0
2015,mines,26.0
2016,mines,61.0
2017,mines,57.0
2018,mines,48.0
2019,mines,84.0
2020,mines,24.0
2015,improvised explosive devices,59.0
2016,improvised explosive devices,44.0
2017,improvised explosive devices,46.0
2018,improvised explosive devices,60.0
2019,improvised explosive devices,46.0
2020,improvised explosive devices,124.0
2015,Vinnytsya,3982.0
2016,Vinnytsya,6624.0
2017,Vinnytsya,5909.0
2018,Vinnytsya,12284.0
2019,Vinnytsya,12436.0
2020,Vinnytsya,7006.0
2015,Volyn,1536.0
2016,Volyn,2392.0
2017,Volyn,5351.0
2018,Volyn,4581.0
2019,Volyn,2461.0
2020,Volyn,5316.0
2015,Dnipropetrovsk,43122.0
2016,Dnipropetrovsk,10419.0
2017,Dnipropetrovsk,27831.0
2018,Dnipropetrovsk,21941.0
2019,Dnipropetrovsk,21774.0
2020,Dnipropetrovsk,23838.0
2015,Donetsk,19780.0
2016,Donetsk,30997.0
2017,Donetsk,47498.0
2018,Donetsk,37417.0
2019,Donetsk,54489.0
2020,Donetsk,14330.0
2015,Zhytomyr,3461.0
2016,Zhytomyr,3321.0
2017,Zhytomyr,3686.0
2018,Zhytomyr,2006.0
2019,Zhytomyr,2725.0
2020,Zhytomyr,4256.0
2015,Zakarpattya,1663.0
2016,Zakarpattya,866.0
2017,Zakarpattya,1773.0
2018,Zakarpattya,1777.0
2019,Zakarpattya,1821.0
2020,Zakarpattya,1772.0
2015,Zaporizhya,6385.0
2016,Zaporizhya,40202.0
2017,Zaporizhya,34304.0
2018,Zaporizhya,5202.0
2019,Zaporizhya,5231.0
2020,Zaporizhya,9316.0
2015,Ivano-Frankivsk,3573.0
2016,Ivano-Frankivsk,3317.0
2017,Ivano-Frankivsk,5177.0
2018,Ivano-Frankivsk,17075.0
2019,Ivano-Frankivsk,5996.0
2020,Ivano-Frankivsk,2695.0
2015,Kyiv,8154.0
2016,Kyiv,10017.0
2017,Kyiv,32340.0
2018,Kyiv,5467.0
2019,Kyiv,6608.0
2020,Kyiv,3945.0
2015,Kirovohrad,2361.0
2016,Kirovohrad,1256.0
2017,Kirovohrad,5508.0
2018,Kirovohrad,8830.0
2019,Kirovohrad,4151.0
2020,Kirovohrad,4836.0
2015,Luhansk,16674.0
2016,Luhansk,16888.0
2017,Luhansk,14655.0
2018,Luhansk,15700.0
2019,Luhansk,15017.0
2020,Luhansk,16238.0
2015,Lviv,2435.0
2016,Lviv,1399.0
2017,Lviv,10073.0
2018,Lviv,4847.0
2019,Lviv,4685.0
2020,Lviv,4560.0
2015,Mykolayiv,9515.0
2016,Mykolayiv,2834.0
2017,Mykolayiv,6209.0
2018,Mykolayiv,8323.0
2019,Mykolayiv,4231.0
2020,Mykolayiv,1624.0
2015,Odesa,21340.0
2016,Odesa,3665.0
2017,Odesa,5009.0
2018,Odesa,12350.0
2019,Odesa,11256.0
2020,Odesa,5687.0
2015,Poltava,5632.0
2016,Poltava,7072.0
2017,Poltava,6276.0
2018,Poltava,5369.0
2019,Poltava,3343.0
2020,Poltava,5730.0
2015,Rivne,3798.0
2016,Rivne,2783.0
2017,Rivne,5092.0
2018,Rivne,9344.0
2019,Rivne,14106.0
2020,Rivne,29331.0
2015,Sumy,3254.0
2016,Sumy,3283.0
2017,Sumy,12851.0
2018,Sumy,3590.0
2019,Sumy,2556.0
2020,Sumy,2125.0
2015,Ternopil,2074.0
2016,Ternopil,1674.0
2017,Ternopil,4576.0
2018,Ternopil,2867.0
2019,Ternopil,2248.0
2020,Ternopil,2046.0
2015,Kharkiv,15470.0
2016,Kharkiv,10051.0
2017,Kharkiv,12498.0
2018,Kharkiv,9327.0
2019,Kharkiv,5971.0
2020,Kharkiv,10032.0
2015,Kherson,4280.0
2016,Kherson,3330.0
2017,Kherson,6172.0
2018,Kherson,39934.0
2019,Kherson,6161.0
2020,Kherson,5022.0
